sample_id,Temperature1/C,Time1/min,Temperature2/C,Time2/min,Temperature3/C,Time3/min,tensile strength/MPa,Young's modulus/Mpa,elongation at break/%,Tg
1,125,139,155,195,181,130,110.5,4455.6,3.19,122.51
2,104,240,140,244,180,230,135.5,4405,6.387,122
3,98,181,147,157,174,288,135.1,4436.7,6.74,119.1
4,116,282,132,288,185,208,131.9,4316.2,6.74,117.88
5,113,210,142,259,188,161,133.8,4370.7,5.63,124.93
6,100,266,157,142,171,240,133.6,4298.4,6.3,122.79
7,109,156,135,228,176,273,132.8,4402.5,5.9,120.67
8,119,212,150,166,184,172,130.6,4577.56,4.9,121.34
9,120,175,137,124,179,194,137.1,4339.7,7.27,121.76
10,107,299,152,276,182,296,134.4,4315.6,6.65,127.81
11,101,122,145,184,186,217,124.3,4390.06,3.9,123.8
12,110,246,160,211,173,139,122.4,4457.4,3.87,132.96
13,116,150,146,241,170,186,130.02,4396.2,5.22,134.02
14,96,229,131,199,189,264,132.2,4460.2,6.8,134.2
15,117,195,146,207,170,197,133.75,4466.7,7.2,132.11
16,116,141,151,234,170,215,133.9,4390,6.55,130.19
17,116,130,152,255,170,206,132.3,4355,5.65,132.76
18,117,208,146,252,170,222,136,4300,5.77,126.98
19,96,289,133,213,189,268,135.962,4442,6.914,132.53
20,119,232,142,162,182,236,137.306,4538,6.596,131.48
21,116,243,145,162,184,274,136.723,4363.33,6.64,132.48
22,114,167,135,234,171,187,137.857,4520,6.48,132.11
23,118,245,143,157,186,225,133.51,4620,4.94,128.243
24,119,244,147,154,184,228,134.17,4540,4.84,127.654
25,120,168,136,193,171,187,139.32,4470,5.915,129.506
26,120,274,147,161,182,233,139.03,4460,6.66,129.843
27,119,256,139,162,181,240,139.4,4606.7,5.39,126.9
28,121,244,141,172,180,235,134.3,4615,4.82,127.9
29,118,260,137,157,182,245,139,4700,5.45,126.9
30,113,200,136,213,170,188,138.9,4520,6.48,125.7
